ST,G,MS,MV,M2S,M2V,M3
89.63,89.63,91.57,91.57,91.51,91.51,93.15
96.69,96.69,94.32,94.32,97.00,97.00,94.95
82.80,83.13,72.25,72.25,84.58,84.58,88.22
62.22,62.22,62.22,62.22,62.22,62.22,62.22
67.05,67.05,67.05,67.05,67.05,67.05,67.05
65.27,65.27,65.27,65.27,65.27,65.27,69.87
68.92,72.27,81.14,81.14,75.68,75.68,81.14
73.17,73.17,73.87,73.87,73.69,73.17, 73.69 
76.24,76.00,74.00,74,77.44,76.32, 77.20 
84.07,84.07,76.99,76.99,84.07,83.48,83.78
63.16,60.53,77.63,77.63,64.47,63.16,60.53
90.55,90.40,90.25,90.25,90.55,90.55,92.27
70.83,69.79,70.31,70.31,72.92,71.35,72.40
36.97,36.97,37.44,37.44,36.97,37.91,36.97
91.89,94.62,94.62,94.62,45.57,45.57,92.80
66.46,64.21,66.71,66.71,65.08,65.08,70.96
74.19,73.66,77.96,77.96,74.73,74.73,74.19
63.46,65.38,61.54,61.54,61.54,61.54,63.46
72.00,72.00,72.00,72.00,72.00,72.00,72.00
77.08,77.08,77.92,77.92,77.92,77.92,77.08
72.23,72.16,75.08,75.08,71.74,71.74,74.11
67.98,67.98,67.98,67.98,67.82,67.82,67.98
77.53,77.24,79.64,79.64,78.65,78.65,80.91
64.44,64.44,66.67,66.67,64.44,64.44,64.44
72.73,72.73,71.59,71.59,71.59,71.59,71.59
63.60,69.04,65.27,65.27,69.87,69.87,61.92
97.19,97.35,97.19,97.19,97.35,97.35,97.30
89.02,90.42,88.85,88.85,90.94,90.94,90.42
70.24,65.76,59.92,59.92,72.56,72.56,67.20
82.60,83.48,84.37,83.78,83.48,83.48,83.48
73.68,73.68,73.68,73.68,73.68,73.68,73.68
99.75,99.75,99.75,99.75,99.75,99.75,99.75
67.19,71.88,65.10,65.10,71.35,71.35,71.88
48.34,48.34,47.39,47.87,48.34,48.34,48.34
96.77,96.86,97.19,96.03,97.27,97.11,96.77
93.62,93.62,94.49,94.49,93.62,93.62,95.62
76.34,76.34,76.34,76.34,76.34,76.34,76.34
65.38,65.38,65.38,65.38,65.38,65.38,65.38
64.00,64.00,64.00,64.00,64.00,64.00,64.00
78.75,78.75,78.75,78.75,78.75,78.75,78.75
98.54,98.54,98.54,98.54,98.54,98.54,98.54
97.16,97.16,97.16,97.16,97.16,97.16,97.16
89.67,89.16,85.53,85.53,90.00,90.04,88.84
71.11,71.11,71.11,71.11,71.11,71.11,71.11
72.73,75.00,75.00,75.00,75.00,75.00,75.00
65.27,78.66,73.22,73.22,77.41,77.41,79.08
78.54,76.27,80.00,80.00,79.62,79.68,79.68
84.84,85.54,79.97,79.97,84.49,84.15,78.40
72.32,72.00,37.76,37.76,74.80,74.80,68.08
82.01,82.30,82.89,82.89,80.53,80.53,82.89
67.11,67.11,73.68,73.68,67.11,67.11,67.11
85.33,85.33,85.33,85.33,85.33,85.33,85.33
72.40,75.52,65.10,65.10,71.88,71.88,71.88
57.82,55.92,30.33,30.33,54.03,52.13,55.92
97.19,97.19,97.19,97.19,97.19,97.19,97.19
95.24,95.24,95.24,95.24,95.24,95.24,95.24
76.34,76.34,76.34,76.34,76.34,76.34,76.34
67.31,67.31,53.85,53.85,67.31,67.31,59.62
48.00,48.00,48.00,48.00,48.00,48.00,64.00
78.33,78.33,78.75,78.75,81.67,81.67,78.33
89.81,92.90,92.06,92.06,94.30,94.30,95.39
96.53,96.53,96.53,96.53,96.53,96.53,96.53
84.51,87.45,77.09,77.09,88.87,88.87,89.35
71.11,71.11,71.11,71.11,71.11,71.11,71.11
68.18,68.18,72.73,72.73,68.18,68.18,73.86
78.66,76.57,72.38,72.38,82.01,82.01,87.87
81.08,81.68,85.84,85.84,81.62,81.62,86.16
73.34,73.00,73.87,73.87,73.87,73.00, 73.52 
75.84,75.52,74.40,74.4,75.60,75.52, 76.40 
84.07,84.66,82.89,82.89,83.48,84.07,84.37
76.32,76.32,76.32,76.32,76.32,76.32,76.32
90.00,90.25,90.25,90.25,90.25,90.25,91.97
70.31,68.75,69.79,69.79,72.92,70.83,71.35
36.49,36.97,38.86,38.86,36.49,37.44,35.07
92.14,94.62,94.62,94.62,45.16,45.16,92.39
65.58,64.46,66.46,66.46,64.21,64.21,70.59
71.51,72.04,75.81,75.81,72.04,72.04,70.97
73.08,73.08,71.15,71.15,71.15,71.15,73.08
80.00,80.00,84.00,84.00,84.00,84.00,80.00
75.83,75.83,75.83,75.83,75.83,75.83,76.25
67.43,67.43,69.56,69.56,67.62,67.62,70.22
65.93,65.93,66.72,66.72,65.93,65.93,65.93
76.84,76.51,78.69,78.69,78.33,78.33,78.55
64.44,66.67,68.89,68.89,68.89,68.89,71.11
69.32,72.73,68.18,68.18,68.18,68.18,69.32
67.78,71.55,66.53,66.53,72.38,72.38,68.62
97.30,97.30,97.19,97.19,97.35,97.35,97.24
89.20,86.93,87.11,87.11,89.02,89.02,90.07
71.12,72.8,58.16,58.16,71.52,71.52,73.76
84.66,88.20,72.86,51.92,87.32,87.32,83.48
72.37,73.68,73.68,73.68,72.37,72.37,72.37
99.75,99.75,99.75,99.75,99.75,99.75,99.75
68.75,71.88,65.10,65.10,68.75,68.75,71.88
60.66,64.45,36.02,64.45,60.19,58.29,67.30
96.20,96.20,96.20,96.20,96.20,96.20,96.20
95.74,95.74,96.12,96.12,95.62,95.62,95.74
76.34,76.34,76.34,76.34,76.34,76.34,76.34
65.38,65.38,65.38,65.38,65.38,65.38,65.38
64.00,64.00,64.00,64.00,64.00,64.00,64.00
78.75,78.75,75.00,75.00,78.75,78.75,75.00
99.70,99.70,99.70,99.70,99.70,99.70,99.70
97.16,97.16,97.16,97.16,97.16,97.16,97.16
89.13,89.89,85.64,85.64,90.51,90.55,89.49
71.11,71.11,71.11,71.11,71.11,71.11,71.11
