"tx_g_o","it_g_o","bd_g_o","thrConf_g_o","nr_added_exs_g_o"
5,1,"leaf",0.9,0
10,1,"leaf",0.9,61
10,2,"leaf",0.9,2
10,3,"leaf",0.9,2
10,4,"leaf",0.9,1
10,5,"leaf",0.9,0
15,1,"leaf",0.9,131
15,2,"leaf",0.9,18
15,3,"leaf",0.9,0
20,1,"leaf",0.9,98
20,2,"leaf",0.9,1
20,3,"leaf",0.9,1
20,4,"leaf",0.9,0
25,1,"leaf",0.9,56
25,2,"leaf",0.9,44
25,3,"leaf",0.9,21
25,4,"leaf",0.9,4
25,5,"leaf",0.9,6
25,6,"leaf",0.9,0
