"tx","bd","acc_g","tx.1","bd.1","acc_g.1","tx.2","bd.2","acc_g.2","tx.3","bd.3","acc_g.3","tx.4","bd.4","acc_g.4"
5,"iris",33.3333333333333,10,"iris",58.3333333333333,15,"iris",91.6666666666667,20,"iris",91.6666666666667,25,"iris",91.6666666666667
5,"phishing",7.71513353115727,10,"phishing",7.71513353115727,15,"phishing",7.71513353115727,20,"phishing",7.71513353115727,25,"phishing",7.71513353115727
5,"letter",57.3947895791583,10,"letter",62.2244488977956,15,"letter",68.8577154308617,20,"letter",71.3827655310621,25,"letter",75.0701402805611
5,"bupa",55.8139534883721,10,"bupa",58.1395348837209,15,"bupa",58.1395348837209,20,"bupa",55.8139534883721,25,"bupa",55.8139534883721
5,"segment",24.9128919860627,10,"segment",22.9965156794425,15,"segment",23.1707317073171,20,"segment",23.5191637630662,25,"segment",25.0871080139373
5,"haberman",73.6842105263158,10,"haberman",73.6842105263158,15,"haberman",65.7894736842105,20,"haberman",73.6842105263158,25,"haberman",73.6842105263158
5,"pima",34.8958333333333,10,"pima",69.7916666666667,15,"pima",63.0208333333333,20,"pima",63.0208333333333,25,"pima",69.7916666666667
5,"cleveland",55.4054054054054,10,"cleveland",55.4054054054054,15,"cleveland",55.4054054054054,20,"cleveland",55.4054054054054,25,"cleveland",55.4054054054054
